Column_Data_00
    step        time[-]    v_max[-]  ItrD Divergence[max]  ItrP         r_x    deltaP_P        rmsP       avrP       rmsV     time[sec]
      17   3.400000e-01  4.4479e-02     1     2.94582e-05     8  9.5676e-05  2.0562e-04   8.675e-04  8.329e-06  2.399e+00  1.683672e-04
      18   3.600000e-01  4.7163e-02     1     2.96005e-05     8  9.7007e-05  2.0830e-04   8.466e-04  9.410e-06  2.469e+00  1.686728e-04
      19   3.800000e-01  4.9835e-02     1     2.97798e-05     8  9.8499e-05  2.1133e-04   8.319e-04  1.055e-05  2.536e+00  1.825871e-04
      20   4.000000e-01  5.2495e-02     1     2.79576e-05     9  9.0612e-05  1.9444e-04   8.405e-04  1.177e-05  2.601e+00  1.760065e-04
      21   4.200000e-01  5.5144e-02     1     2.77122e-05     8  9.4035e-05  2.0140e-04   7.982e-04  1.301e-05  2.664e+00  1.882953e-04
      22   4.400000e-01  5.7782e-02     1     2.94020e-05     8  9.9170e-05  2.1230e-04   8.105e-04  1.434e-05  2.725e+00  1.708919e-04
      23   4.600000e-01  6.0411e-02     1     2.84752e-05     9  9.3935e-05  2.0129e-04   8.379e-04  1.574e-05  2.785e+00  1.837338e-04
      24   4.800000e-01  6.3030e-02     1     2.96542e-05     8  9.9991e-05  2.1378e-04   8.044e-04  1.715e-05  2.843e+00  2.541065e-04
      25   5.000000e-01  6.5640e-02     1     2.84536e-05     9  9.5389e-05  2.0421e-04   8.489e-04  1.866e-05  2.899e+00  1.778326e-04
      26   5.200000e-01  6.8241e-02     1     2.73213e-05     9  9.2395e-05  1.9769e-04   8.395e-04  2.020e-05  2.954e+00  1.831593e-04
      27   5.400000e-01  7.0834e-02     1     2.69905e-05     9  9.1453e-05  1.9558e-04   8.471e-04  2.180e-05  3.008e+00  1.835492e-04
      28   5.600000e-01  7.3419e-02     1     2.73758e-05     9  9.2470e-05  1.9769e-04   8.597e-04  2.345e-05  3.060e+00  1.758487e-04
      29   5.800000e-01  7.5997e-02     1     2.80493e-05     9  9.4675e-05  2.0237e-04   8.750e-04  2.516e-05  3.112e+00  1.848461e-04
      30   6.000000e-01  7.8568e-02     1     2.87787e-05     9  9.7172e-05  2.0766e-04   8.917e-04  2.692e-05  3.162e+00  1.930192e-04
      31   6.200000e-01  8.1132e-02     1     2.94241e-05     9  9.9369e-05  2.1231e-04   9.085e-04  2.873e-05  3.211e+00  1.877492e-04
      32   6.400000e-01  8.3690e-02     1     2.72057e-05    10  9.1537e-05  1.9591e-04   9.441e-04  3.059e-05  3.259e+00  1.672484e-02
      33   6.600000e-01  8.6242e-02     1     2.83929e-05     9  9.5601e-05  2.0409e-04   9.195e-04  3.248e-05  3.305e+00  1.950215e-04
      34   6.800000e-01  8.8788e-02     1     2.68268e-05    10  9.0855e-05  1.9437e-04   9.721e-04  3.445e-05  3.351e+00  2.009756e-04
      35   7.000000e-01  9.1328e-02     1     2.92889e-05     9  9.8329e-05  2.0986e-04   9.533e-04  3.642e-05  3.396e+00  1.839475e-04
      36   7.200000e-01  9.3863e-02     1     2.80059e-05    10  9.4945e-05  2.0310e-04   1.010e-03  3.849e-05  3.441e+00  1.963252e-04
      37   7.400000e-01  9.6392e-02     1     2.72437e-05    10  9.2819e-05  1.9850e-04   1.009e-03  4.057e-05  3.484e+00  1.964976e-04
      38   7.600000e-01  9.8917e-02     1     2.70850e-05    10  9.2152e-05  1.9704e-04   1.023e-03  4.270e-05  3.527e+00  1.897989e-04
      39   7.800000e-01  1.0144e-01     1     2.73970e-05    10  9.3022e-05  1.9890e-04   1.041e-03  4.487e-05  3.568e+00  1.901406e-04
      40   8.000000e-01  1.0395e-01     1     2.79411e-05    10  9.4843e-05  2.0280e-04   1.059e-03  4.708e-05  3.609e+00  2.029419e-04
      41   8.200000e-01  1.0646e-01     1     2.85309e-05    10  9.6887e-05  2.0718e-04   1.078e-03  4.934e-05  3.650e+00  2.077256e-04
      42   8.400000e-01  1.0897e-01     1     2.90581e-05    10  9.8698e-05  2.1105e-04   1.096e-03  5.164e-05  3.689e+00  1.920349e-04
      43   8.600000e-01  1.1147e-01     1     2.73807e-05    11  9.1044e-05  1.9503e-04   1.131e-03  5.398e-05  3.728e+00  2.005359e-04
      44   8.800000e-01  1.1397e-01     1     2.80812e-05    10  9.5060e-05  2.0321e-04   1.109e-03  5.634e-05  3.767e+00  1.908400e-04
      45   9.000000e-01  1.1646e-01     1     2.73632e-05    11  9.0800e-05  1.9452e-04   1.160e-03  5.877e-05  3.804e+00  1.974964e-04
      46   9.200000e-01  1.1896e-01     1     2.89806e-05    10  9.7919e-05  2.0937e-04   1.143e-03  6.120e-05  3.841e+00  1.913777e-04
      47   9.400000e-01  1.2144e-01     1     2.85984e-05    11  9.4641e-05  2.0278e-04   1.197e-03  6.370e-05  3.878e+00  2.087872e-04
      48   9.600000e-01  1.2392e-01     1     2.78283e-05    11  9.2330e-05  1.9780e-04   1.195e-03  6.621e-05  3.914e+00  3.496548e-04
      49   9.800000e-01  1.2640e-01     1     2.76538e-05    11  9.1646e-05  1.9635e-04   1.208e-03  6.876e-05  3.949e+00  2.088699e-04
      50   1.000000e+00  1.2888e-01     1     2.80088e-05    11  9.2562e-05  1.9834e-04   1.224e-03  7.135e-05  3.984e+00  2.097018e-04
      51   1.020000e+00  1.3135e-01     1     2.86014e-05    11  9.4309e-05  2.0211e-04   1.240e-03  7.397e-05  4.018e+00  2.015210e-04
      52   1.040000e+00  1.3382e-01     1     2.92075e-05    11  9.6129e-05  2.0603e-04   1.257e-03  7.662e-05  4.052e+00  1.945558e-04
      53   1.060000e+00  1.3628e-01     1     2.97273e-05    11  9.7648e-05  2.0932e-04   1.273e-03  7.930e-05  4.085e+00  1.936826e-04
      54   1.080000e+00  1.3874e-01     1     3.01628e-05    11  9.8861e-05  2.1194e-04   1.287e-03  8.201e-05  4.118e+00  1.897952e-04
      55   1.100000e+00  1.4120e-01     1     3.05615e-05    11  9.9930e-05  2.1426e-04   1.302e-03  8.475e-05  4.150e+00  2.498798e-02
      56   1.120000e+00  1.4365e-01     1     2.86460e-05    12  9.2149e-05  1.9783e-04   1.332e-03  8.753e-05  4.182e+00  2.157899e-04
      57   1.140000e+00  1.4610e-01     1     2.94419e-05    11  9.6158e-05  2.0619e-04   1.309e-03  9.032e-05  4.214e+00  1.949571e-04
      58   1.160000e+00  1.4854e-01     1     2.88899e-05    12  9.2342e-05  1.9831e-04   1.357e-03  9.316e-05  4.245e+00  2.175923e-04
      59   1.180000e+00  1.5098e-01     1     3.05847e-05    11  9.9229e-05  2.1286e-04   1.338e-03  9.600e-05  4.275e+00  1.934681e-04
      60   1.200000e+00  1.5342e-01     1     3.01534e-05    12  9.5954e-05  2.0612e-04   1.388e-03  9.889e-05  4.305e+00  2.095310e-04
      61   1.220000e+00  1.5585e-01     1     2.93337e-05    12  9.3399e-05  2.0063e-04   1.382e-03  1.018e-04  4.335e+00  2.014092e-04
      62   1.240000e+00  1.5828e-01     1     2.92274e-05    12  9.2725e-05  1.9922e-04   1.392e-03  1.047e-04  4.364e+00  3.645944e-04
      63   1.260000e+00  1.6070e-01     1     2.96399e-05    12  9.3682e-05  2.0131e-04   1.405e-03  1.077e-04  4.393e+00  2.329512e-04
      64   1.280000e+00  1.6312e-01     1     3.02422e-05    12  9.5331e-05  2.0489e-04   1.419e-03  1.106e-04  4.422e+00  2.052414e-04
      65   1.300000e+00  1.6553e-01     1     3.08198e-05    12  9.6919e-05  2.0833e-04   1.433e-03  1.136e-04  4.450e+00  2.030744e-04
      66   1.320000e+00  1.6794e-01     1     3.13006e-05    12  9.8172e-05  2.1105e-04   1.445e-03  1.167e-04  4.478e+00  2.009021e-04
      67   1.340000e+00  1.7034e-01     1     3.17077e-05    12  9.9161e-05  2.1322e-04   1.457e-03  1.197e-04  4.505e+00  2.128784e-04
      68   1.360000e+00  1.7274e-01     1     2.95106e-05    13  9.1547e-05  1.9697e-04   1.484e-03  1.228e-04  4.532e+00  2.099301e-04
      69   1.380000e+00  1.7513e-01     1     3.06673e-05    12  9.5469e-05  2.0533e-04   1.457e-03  1.259e-04  4.559e+00  2.088340e-04
      70   1.400000e+00  1.7751e-01     1     2.98348e-05    13  9.1832e-05  1.9766e-04   1.503e-03  1.290e-04  4.586e+00  2.092821e-04
      71   1.420000e+00  1.7989e-01     1     3.17856e-05    12  9.8296e-05  2.1149e-04   1.481e-03  1.321e-04  4.612e+00  2.088998e-04
      72   1.440000e+00  1.8226e-01     1     3.09837e-05    13  9.4927e-05  2.0437e-04   1.529e-03  1.352e-04  4.637e+00  4.913711e-04
      73   1.460000e+00  1.8463e-01     1     3.01343e-05    13  9.2256e-05  1.9862e-04   1.520e-03  1.384e-04  4.663e+00  2.173411e-04
      74   1.480000e+00  1.8699e-01     1     3.00763e-05    13  9.1658e-05  1.9738e-04   1.527e-03  1.416e-04  4.688e+00  2.146286e-04
      75   1.500000e+00  1.8934e-01     1     3.04989e-05    13  9.2604e-05  1.9945e-04   1.537e-03  1.447e-04  4.713e+00  2.543141e-04
      76   1.520000e+00  1.9168e-01     1     3.10564e-05    13  9.4056e-05  2.0260e-04   1.549e-03  1.479e-04  4.737e+00  2.251657e-04
      77   1.540000e+00  1.9402e-01     1     3.15586e-05    13  9.5340e-05  2.0539e-04   1.560e-03  1.512e-04  4.762e+00  2.170117e-04
      78   1.560000e+00  1.9635e-01     1     3.19634e-05    13  9.6290e-05  2.0746e-04   1.569e-03  1.544e-04  4.786e+00  2.154851e-04
      79   1.580000e+00  1.9867e-01     1     3.23096e-05    13  9.7033e-05  2.0910e-04   1.578e-03  1.576e-04  4.809e+00  2.175885e-04
      80   1.600000e+00  2.0098e-01     1     3.26457e-05    13  9.7735e-05  2.1064e-04   1.586e-03  1.609e-04  4.833e+00  2.209236e-04
      81   1.620000e+00  2.0328e-01     1     3.29958e-05    13  9.8476e-05  2.1226e-04   1.594e-03  1.642e-04  4.856e+00  2.152736e-04
      82   1.640000e+00  2.0557e-01     1     3.33597e-05    13  9.9255e-05  2.1397e-04   1.602e-03  1.675e-04  4.879e+00  2.311160e-04
      83   1.660000e+00  2.0785e-01     1     3.08551e-05    14  9.1650e-05  1.9758e-04   1.628e-03  1.708e-04  4.901e+00  2.247789e-04
      84   1.680000e+00  2.1012e-01     1     3.23703e-05    13  9.5685e-05  2.0634e-04   1.596e-03  1.741e-04  4.923e+00  2.146187e-04
      85   1.700000e+00  2.1239e-01     1     3.12091e-05    14  9.1938e-05  1.9827e-04   1.641e-03  1.774e-04  4.945e+00  2.230454e-04
      86   1.720000e+00  2.1464e-01     1     3.33763e-05    13  9.8030e-05  2.1145e-04   1.614e-03  1.807e-04  4.967e+00  2.166080e-04
      87   1.740000e+00  2.1688e-01     1     3.21615e-05    14  9.4269e-05  2.0332e-04   1.660e-03  1.841e-04  4.989e+00  2.591506e-04
      88   1.760000e+00  2.1911e-01     1     3.41892e-05    13  9.9818e-05  2.1535e-04   1.629e-03  1.874e-04  5.010e+00  2.950535e-04
      89   1.780000e+00  2.2133e-01     1     3.27706e-05    14  9.5461e-05  2.0593e-04   1.674e-03  1.908e-04  5.031e+00  2.272477e-04
      90   1.800000e+00  2.2353e-01     1     3.17724e-05    14  9.2338e-05  1.9921e-04   1.658e-03  1.941e-04  5.052e+00  2.185965e-04
      91   1.820000e+00  2.2573e-01     1     3.17194e-05    14  9.1713e-05  1.9791e-04   1.661e-03  1.975e-04  5.072e+00  2.227444e-04
      92   1.840000e+00  2.2791e-01     1     3.21270e-05    14  9.2561e-05  1.9976e-04   1.669e-03  2.009e-04  5.093e+00  2.283155e-04
      93   1.860000e+00  2.3008e-01     1     3.26057e-05    14  9.3693e-05  2.0221e-04   1.677e-03  2.042e-04  5.113e+00  2.173127e-04
      94   1.880000e+00  2.3223e-01     1     3.29886e-05    14  9.4525e-05  2.0402e-04   1.684e-03  2.076e-04  5.133e+00  2.170745e-04
      95   1.900000e+00  2.3438e-01     1     3.32698e-05    14  9.5021e-05  2.0511e-04   1.690e-03  2.110e-04  5.153e+00  2.315457e-04
      96   1.920000e+00  2.3650e-01     1     3.35049e-05    14  9.5362e-05  2.0586e-04   1.694e-03  2.144e-04  5.172e+00  2.183820e-04
      97   1.940000e+00  2.3861e-01     1     3.37390e-05    14  9.5695e-05  2.0660e-04   1.699e-03  2.178e-04  5.191e+00  1.983899e-02
      98   1.960000e+00  2.4071e-01     1     3.39853e-05    14  9.6062e-05  2.0741e-04   1.704e-03  2.212e-04  5.210e+00  2.461494e-04
      99   1.980000e+00  2.4279e-01     1     3.42370e-05    14  9.6442e-05  2.0825e-04   1.708e-03  2.246e-04  5.229e+00  2.331703e-04
     100   2.000000e+00  2.4486e-01     1     3.44846e-05    14  9.6804e-05  2.0905e-04   1.712e-03  2.280e-04  5.248e+00  8.185968e-03
