Column_Data_00
    step      time[sec]  v_max[m/s]  ItrD Divergence[max]  ItrP         r_x    deltaP_P        rmsP       avrP       rmsV       rmsE       avrE     time[sec]
      25   1.562500e-01  8.8233e-04     1     6.87557e-05     2  8.4632e-05  1.6000e-04   6.824e-04  1.748e-10  2.174e+00  8.950e-03  7.998e-01  1.308849e-03
      26   1.625000e-01  9.0489e-04     1     6.38495e-05     2  7.8622e-05  1.4859e-04   6.451e-04  1.416e-10  2.216e+00  8.946e-03  7.998e-01  8.898203e-04
      27   1.687500e-01  9.2700e-04     1     5.84486e-05     2  7.2205e-05  1.3639e-04   6.067e-04  1.040e-10  2.258e+00  8.942e-03  7.998e-01  2.910193e-03
      28   1.750000e-01  9.4868e-04     1     5.26146e-05     2  6.5464e-05  1.2357e-04   5.679e-04  6.309e-11  2.299e+00  8.939e-03  7.998e-01  1.412713e-03
      29   1.812500e-01  9.6997e-04     1     4.65048e-05     2  5.8500e-05  1.1032e-04   5.294e-04  1.985e-11  2.340e+00  8.935e-03  7.997e-01  1.183229e-03
      30   1.875000e-01  9.9088e-04     1     4.04467e-05     2  5.1445e-05  9.6881e-05   4.919e-04 -2.458e-11  2.379e+00  8.931e-03  7.997e-01  1.243034e-03
      31   1.937500e-01  1.0114e-03     1     3.46401e-05     2  4.4476e-05  8.3583e-05   4.566e-04 -6.907e-11  2.418e+00  8.927e-03  7.997e-01  1.060599e-03
      32   2.000000e-01  1.0316e-03     1     2.86751e-05     2  3.7853e-05  7.0911e-05   4.246e-04 -1.125e-10  2.456e+00  8.924e-03  7.997e-01  1.976221e-02
      33   2.062500e-01  1.0515e-03     1     2.25725e-05     2  3.1976e-05  5.9624e-05   3.973e-04 -1.540e-10  2.494e+00  8.920e-03  7.997e-01  1.248854e-03
      34   2.125000e-01  1.0711e-03     1     1.63542e-05     2  2.7469e-05  5.0925e-05   3.759e-04 -1.925e-10  2.532e+00  8.916e-03  7.997e-01  1.058063e-03
      35   2.187500e-01  1.0904e-03     1     1.00471e-05     2  2.5136e-05  4.6418e-05   3.616e-04 -2.273e-10  2.570e+00  8.912e-03  7.997e-01  2.656341e-03
      36   2.250000e-01  1.1094e-03     1     4.59281e-05     1  9.9197e-05  1.8650e-04   3.051e-04 -2.496e-10  2.609e+00  8.908e-03  7.997e-01  1.600250e-03
      37   2.312500e-01  1.1281e-03     1     1.77834e-05     2  2.6986e-05  5.0218e-05   4.126e-04 -2.768e-10  2.648e+00  8.905e-03  7.997e-01  1.069713e-03
      38   2.375000e-01  1.1466e-03     1     5.69307e-05     1  9.7102e-05  1.8293e-04   2.993e-04 -2.945e-10  2.687e+00  8.901e-03  7.997e-01  1.350647e-03
      39   2.437500e-01  1.1649e-03     1     3.07723e-05     2  3.7938e-05  7.1352e-05   4.300e-04 -3.116e-10  2.725e+00  8.897e-03  7.997e-01  2.329040e-03
      40   2.500000e-01  1.1828e-03     1     6.73028e-05     1  9.8095e-05  1.8523e-04   3.031e-04 -3.234e-10  2.762e+00  8.893e-03  7.996e-01  1.199720e-03
      41   2.562500e-01  1.2006e-03     1     4.33789e-05     2  5.0690e-05  9.5840e-05   4.667e-04 -3.294e-10  2.799e+00  8.890e-03  7.996e-01  1.098660e-03
      42   2.625000e-01  1.2182e-03     1     4.89831e-05     2  5.7472e-05  1.0885e-04   4.523e-04 -3.297e-10  2.835e+00  8.886e-03  7.996e-01  1.189185e-03
      43   2.687500e-01  1.2355e-03     1     5.47993e-05     2  6.3195e-05  1.1985e-04   4.784e-04 -3.248e-10  2.871e+00  8.882e-03  7.996e-01  1.154166e-03
      44   2.750000e-01  1.2526e-03     1     6.00078e-05     2  6.8503e-05  1.3005e-04   5.037e-04 -3.154e-10  2.906e+00  8.878e-03  7.996e-01  2.731657e-03
      45   2.812500e-01  1.2695e-03     1     6.45740e-05     2  7.3306e-05  1.3927e-04   5.274e-04 -3.019e-10  2.941e+00  8.875e-03  7.996e-01  1.172510e-03
      46   2.875000e-01  1.2863e-03     1     6.84493e-05     2  7.7541e-05  1.4739e-04   5.489e-04 -2.848e-10  2.975e+00  8.871e-03  7.996e-01  2.199213e-02
      47   2.937500e-01  1.3030e-03     1     7.15998e-05     2  8.1159e-05  1.5433e-04   5.676e-04 -2.647e-10  3.008e+00  8.867e-03  7.996e-01  1.257831e-03
      48   3.000000e-01  1.3195e-03     1     7.40641e-05     2  8.4124e-05  1.6002e-04   5.831e-04 -2.419e-10  3.041e+00  8.863e-03  7.996e-01  1.042344e-03
      49   3.062500e-01  1.3358e-03     1     7.58629e-05     2  8.6407e-05  1.6440e-04   5.950e-04 -2.169e-10  3.074e+00  8.860e-03  7.996e-01  9.957810e-04
      50   3.125000e-01  1.3519e-03     1     7.70895e-05     2  8.7988e-05  1.6744e-04   6.031e-04 -1.902e-10  3.106e+00  8.856e-03  7.996e-01  2.364002e-03
      51   3.187500e-01  1.3679e-03     1     7.79591e-05     2  8.8856e-05  1.6911e-04   6.073e-04 -1.622e-10  3.137e+00  8.852e-03  7.996e-01  3.157475e-03
      52   3.250000e-01  1.3838e-03     1     7.86616e-05     2  8.9006e-05  1.6941e-04   6.075e-04 -1.334e-10  3.169e+00  8.848e-03  7.995e-01  1.134615e-03
      53   3.312500e-01  1.3994e-03     1     7.87149e-05     2  8.8440e-05  1.6834e-04   6.035e-04 -1.043e-10  3.199e+00  8.845e-03  7.995e-01  1.128067e-03
      54   3.375000e-01  1.4150e-03     1     7.80957e-05     2  8.7167e-05  1.6592e-04   5.955e-04 -7.536e-11  3.230e+00  8.841e-03  7.995e-01  1.093394e-03
      55   3.437500e-01  1.4304e-03     1     7.67917e-05     2  8.5199e-05  1.6217e-04   5.835e-04 -4.708e-11  3.260e+00  8.837e-03  7.995e-01  1.086995e-03
      56   3.500000e-01  1.4456e-03     1     7.48036e-05     2  8.2560e-05  1.5714e-04   5.677e-04 -1.984e-11  3.290e+00  8.833e-03  7.995e-01  1.022759e-03
      57   3.562500e-01  1.4607e-03     1     7.21293e-05     2  7.9275e-05  1.5088e-04   5.481e-04  5.973e-12  3.319e+00  8.830e-03  7.995e-01  9.986303e-04
      58   3.625000e-01  1.4757e-03     1     6.87858e-05     2  7.5378e-05  1.4345e-04   5.251e-04  3.008e-11  3.348e+00  8.826e-03  7.995e-01  2.743018e-03
      59   3.687500e-01  1.4906e-03     1     8.13929e-05     1  9.6901e-05  1.8401e-04   3.028e-04  4.487e-11  3.376e+00  8.822e-03  7.995e-01  2.209149e-02
      60   3.750000e-01  1.5053e-03     1     6.08148e-05     2  6.6178e-05  1.2588e-04   4.920e-04  6.623e-11  3.405e+00  8.818e-03  7.995e-01  1.656951e-03
      61   3.812500e-01  1.5199e-03     1     7.27596e-05     1  8.8829e-05  1.6850e-04   2.773e-04  8.048e-11  3.433e+00  8.815e-03  7.995e-01  1.241584e-03
      62   3.875000e-01  1.5344e-03     1     6.50975e-05     1  9.3795e-05  1.7702e-04   2.914e-04  9.501e-11  3.460e+00  8.811e-03  7.995e-01  1.061820e-03
      63   3.937500e-01  1.5487e-03     1     6.00656e-05     1  8.8710e-05  1.6731e-04   2.754e-04  1.096e-10  3.488e+00  8.807e-03  7.994e-01  1.153507e-03
      64   4.000000e-01  1.5630e-03     1     5.49874e-05     1  8.4819e-05  1.5980e-04   2.631e-04  1.243e-10  3.515e+00  8.803e-03  7.994e-01  1.044658e-03
      65   4.062500e-01  1.5771e-03     1     4.97442e-05     1  8.1133e-05  1.5268e-04   2.514e-04  1.389e-10  3.543e+00  8.800e-03  7.994e-01  3.311429e-03
      66   4.125000e-01  1.5911e-03     1     4.43856e-05     1  7.7672e-05  1.4598e-04   2.404e-04  1.534e-10  3.570e+00  8.796e-03  7.994e-01  3.438068e-02
      67   4.187500e-01  1.6050e-03     1     3.90003e-05     1  7.4531e-05  1.3991e-04   2.304e-04  1.679e-10  3.597e+00  8.792e-03  7.994e-01  1.228779e-03
      68   4.250000e-01  1.6189e-03     1     3.34850e-05     1  7.1792e-05  1.3460e-04   2.217e-04  1.822e-10  3.623e+00  8.789e-03  7.994e-01  1.024376e-03
      69   4.312500e-01  1.6326e-03     1     2.79035e-05     1  6.9537e-05  1.3024e-04   2.145e-04  1.964e-10  3.650e+00  8.785e-03  7.994e-01  1.145027e-03
      70   4.375000e-01  1.6462e-03     1     2.23941e-05     1  6.7840e-05  1.2694e-04   2.091e-04  2.104e-10  3.676e+00  8.781e-03  7.994e-01  1.070262e-03
      71   4.437500e-01  1.6597e-03     1     2.24530e-05     1  6.6758e-05  1.2485e-04   2.056e-04  2.242e-10  3.702e+00  8.777e-03  7.994e-01  1.057836e-03
      72   4.500000e-01  1.6732e-03     1     2.74936e-05     1  6.6326e-05  1.2402e-04   2.042e-04  2.378e-10  3.728e+00  8.774e-03  7.994e-01  1.032527e-03
      73   4.562500e-01  1.6865e-03     1     3.24601e-05     1  6.6554e-05  1.2447e-04   2.050e-04  2.512e-10  3.754e+00  8.770e-03  7.994e-01  4.218461e-03
      74   4.625000e-01  1.6998e-03     1     3.73480e-05     1  6.7418e-05  1.2616e-04   2.077e-04  2.642e-10  3.780e+00  8.766e-03  7.994e-01  1.052767e-03
      75   4.687500e-01  1.7129e-03     1     4.21639e-05     1  6.8871e-05  1.2899e-04   2.124e-04  2.770e-10  3.805e+00  8.763e-03  7.993e-01  1.017816e-03
      76   4.750000e-01  1.7260e-03     1     4.68738e-05     1  7.0845e-05  1.3282e-04   2.187e-04  2.894e-10  3.830e+00  8.759e-03  7.993e-01  1.128344e-03
      77   4.812500e-01  1.7390e-03     1     5.14635e-05     1  7.3257e-05  1.3751e-04   2.264e-04  3.013e-10  3.856e+00  8.755e-03  7.993e-01  1.126437e-03
      78   4.875000e-01  1.7520e-03     1     5.59200e-05     1  7.6022e-05  1.4286e-04   2.352e-04  3.128e-10  3.881e+00  8.751e-03  7.993e-01  1.086413e-03
      79   4.937500e-01  1.7649e-03     1     6.02381e-05     1  7.9052e-05  1.4873e-04   2.448e-04  3.237e-10  3.905e+00  8.748e-03  7.993e-01  1.117155e-03
      80   5.000000e-01  1.7778e-03     1     6.43893e-05     1  8.2266e-05  1.5494e-04   2.550e-04  3.339e-10  3.930e+00  8.744e-03  7.993e-01  1.119254e-03
      81   5.062500e-01  1.7906e-03     1     6.83688e-05     1  8.5588e-05  1.6136e-04   2.656e-04  3.435e-10  3.954e+00  8.740e-03  7.993e-01  1.112687e-03
      82   5.125000e-01  1.8034e-03     1     7.21697e-05     1  8.8950e-05  1.6784e-04   2.762e-04  3.522e-10  3.979e+00  8.737e-03  7.993e-01  2.124751e-02
      83   5.187500e-01  1.8161e-03     1     7.59137e-05     1  9.2291e-05  1.7428e-04   2.868e-04  3.600e-10  4.003e+00  8.733e-03  7.993e-01  1.023943e-03
      84   5.250000e-01  1.8287e-03     1     7.95639e-05     1  9.5560e-05  1.8057e-04   2.971e-04  3.667e-10  4.027e+00  8.729e-03  7.993e-01  1.015637e-03
      85   5.312500e-01  1.8412e-03     1     8.29565e-05     1  9.8709e-05  1.8663e-04   3.070e-04  3.723e-10  4.050e+00  8.725e-03  7.993e-01  9.612025e-04
      86   5.375000e-01  1.8537e-03     1     8.14674e-05     2  8.4601e-05  1.6130e-04   5.620e-04  3.692e-10  4.074e+00  8.722e-03  7.992e-01  1.181254e-03
      87   5.437500e-01  1.8662e-03     1     8.85307e-05     1  9.9922e-05  1.8951e-04   3.116e-04  3.734e-10  4.097e+00  8.718e-03  7.992e-01  9.799846e-04
      88   5.500000e-01  1.8785e-03     1     8.46989e-05     2  9.0330e-05  1.7218e-04   5.967e-04  3.693e-10  4.121e+00  8.714e-03  7.992e-01  1.061636e-03
      89   5.562500e-01  1.8908e-03     1     8.51539e-05     2  9.2265e-05  1.7581e-04   5.990e-04  3.650e-10  4.144e+00  8.711e-03  7.992e-01  1.443087e-03
      90   5.625000e-01  1.9031e-03     1     8.50407e-05     2  9.3336e-05  1.7783e-04   6.056e-04  3.601e-10  4.166e+00  8.707e-03  7.992e-01  1.144912e-03
      91   5.687500e-01  1.9152e-03     1     8.44313e-05     2  9.3678e-05  1.7846e-04   6.077e-04  3.541e-10  4.189e+00  8.703e-03  7.992e-01  2.948095e-03
      92   5.750000e-01  1.9274e-03     1     8.33450e-05     2  9.3289e-05  1.7770e-04   6.054e-04  3.467e-10  4.212e+00  8.700e-03  7.992e-01  1.108912e-03
      93   5.812500e-01  1.9394e-03     1     8.17824e-05     2  9.2178e-05  1.7556e-04   5.987e-04  3.376e-10  4.234e+00  8.696e-03  7.992e-01  1.016717e-03
      94   5.875000e-01  1.9514e-03     1     7.97483e-05     2  9.0356e-05  1.7207e-04   5.878e-04  3.266e-10  4.256e+00  8.692e-03  7.992e-01  1.001610e-03
      95   5.937500e-01  1.9633e-03     1     7.72527e-05     2  8.7842e-05  1.6727e-04   5.727e-04  3.136e-10  4.278e+00  8.688e-03  7.992e-01  1.060781e-03
      96   6.000000e-01  1.9752e-03     1     7.95772e-05     1  9.7423e-05  1.8465e-04   3.027e-04  3.054e-10  4.300e+00  8.685e-03  7.992e-01  1.065739e-03
      97   6.062500e-01  1.9871e-03     1     7.62090e-05     1  9.8895e-05  1.8694e-04   3.064e-04  2.944e-10  4.322e+00  8.681e-03  7.992e-01  4.404431e-02
      98   6.125000e-01  1.9988e-03     1     7.32401e-05     1  9.5293e-05  1.8014e-04   2.952e-04  2.806e-10  4.343e+00  8.677e-03  7.991e-01  1.679967e-02
      99   6.187500e-01  2.0105e-03     1     7.07960e-05     1  9.2042e-05  1.7395e-04   2.850e-04  2.643e-10  4.365e+00  8.674e-03  7.991e-01  1.559209e-02
     100   6.250000e-01  2.0222e-03     1     6.81442e-05     1  8.8630e-05  1.6744e-04   2.743e-04  2.458e-10  4.386e+00  8.670e-03  7.991e-01  2.339946e-01
